!Version=1,type=LEV,encoding=MBCS
FILECONT, TITLE
3,1
UserSettings,U_VALUES,U_DATETIME
UserSettingsValues,m AD,dd-mm-yyyy hh:mm
G_START,G_TS,G_NPROFILES,G_DATATYPE
00/00/0000 00:00:00,300,21,    0
L_NODEID,L_PIPELEVEL,L_PTITLE
SM06003201,  0.000,        
SR06987501,  0.000,        
SR05967203,  0.000,        
SR05967204,  0.000,        
SR05967205,  0.000,        
LO_GR_218,  0.000,        
SM10001202,  0.000,        
SR11963501,  0.000,        
SR09986101,  0.000,        
SR07937404,  0.000,        
SR06939113,  0.000,        
SR06937110,  0.000,        
SR06937111,  0.000,        
SR06936107,  0.000,        
SR06935211,  0.000,        
SR06934242,  0.000,        
DE_RWZI_LOZ_TSK,  0.000,        
SM10001104,  0.000,        
SM07006201,  0.000,        
 OA_DUM7,  0.000,        
SR05948309,  0.000,        
P_DATETIME,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
00/00/0000 00:00:00,4.600000,4.600000,4.600000,4.600000,4.600000,6.000000,6.000000,5.850000,5.900000,4.625000,4.625000,4.625000,4.625000,4.625000,4.625000,4.625000,4.625000,6.000000,6.000000,4.600000,4.600000
00/00/0000 00:05:00,4.600000,4.600000,4.600000,4.600000,4.600000,6.000000,6.000000,5.850000,5.900000,4.593750,4.593750,4.593750,4.593750,4.593750,4.593750,4.593750,4.593750,6.000000,6.000000,4.600000,4.600000
00/00/0000 00:10:00,4.600000,4.600000,4.600000,4.600000,4.600000,6.000000,6.000000,5.850000,5.900000,4.562500,4.562500,4.562500,4.562500,4.562500,4.562500,4.562500,4.562500,6.000000,6.000000,4.600000,4.600000
00/00/0000 00:15:00,4.600000,4.600000,4.600000,4.600000,4.600000,6.000000,6.000000,5.850000,5.900000,4.546875,4.546875,4.546875,4.546875,4.546875,4.546875,4.546875,4.546875,6.000000,6.000000,4.600000,4.600000
00/00/0000 00:20:00,4.600000,4.600000,4.600000,4.600000,4.600000,6.000000,6.000000,5.850000,5.900000,4.531250,4.531250,4.531250,4.531250,4.531250,4.531250,4.531250,4.531250,6.000000,6.000000,4.600000,4.600000
00/00/0000 00:25:00,4.600000,4.600000,4.600000,4.600000,4.600000,6.000000,6.000000,5.860000,5.900000,4.500000,4.500000,4.500000,4.500000,4.500000,4.500000,4.500000,4.500000,6.000000,6.000000,4.600000,4.600000
00/00/0000 00:30:00,4.600000,4.600000,4.600000,4.600000,4.600000,6.000000,6.000000,5.860000,5.900000,4.468750,4.468750,4.468750,4.468750,4.468750,4.468750,4.468750,4.468750,6.000000,6.000000,4.600000,4.600000
00/00/0000 00:35:00,4.600000,4.600000,4.600000,4.600000,4.600000,6.000000,6.000000,5.860000,5.900000,4.437500,4.437500,4.437500,4.437500,4.437500,4.437500,4.437500,4.437500,6.000000,6.000000,4.600000,4.600000
00/00/0000 00:40:00,4.600000,4.600000,4.600000,4.600000,4.600000,6.000000,6.000000,5.860000,5.900000,4.406250,4.406250,4.406250,4.406250,4.406250,4.406250,4.406250,4.406250,6.000000,6.000000,4.600000,4.600000
00/00/0000 00:45:00,4.600000,4.600000,4.600000,4.600000,4.600000,6.000000,6.000000,5.860000,5.900000,4.375000,4.375000,4.375000,4.375000,4.375000,4.375000,4.375000,4.375000,6.000000,6.000000,4.600000,4.600000
00/00/0000 00:50:00,4.600000,4.600000,4.600000,4.600000,4.600000,6.000000,6.000000,5.860000,5.900000,4.343750,4.343750,4.343750,4.343750,4.343750,4.343750,4.343750,4.343750,6.000000,6.000000,4.600000,4.600000
00/00/0000 00:55:00,4.600000,4.600000,4.600000,4.600000,4.600000,6.000000,6.000000,5.870000,5.900000,4.312500,4.312500,4.312500,4.312500,4.312500,4.312500,4.312500,4.312500,6.000000,6.000000,4.600000,4.600000
00/00/0000 01:00:00,4.600000,4.600000,4.600000,4.600000,4.600000,6.000000,6.000000,5.870000,5.900000,4.281250,4.281250,4.281250,4.281250,4.281250,4.281250,4.281250,4.281250,6.000000,6.000000,4.600000,4.600000
00/00/0000 01:05:00,4.600000,4.600000,4.600000,4.600000,4.600000,6.000000,6.000000,5.870000,5.900000,4.250000,4.250000,4.250000,4.250000,4.250000,4.250000,4.250000,4.250000,6.000000,6.000000,4.600000,4.600000
00/00/0000 01:10:00,4.600000,4.600000,4.600000,4.600000,4.600000,6.000000,6.000000,5.870000,5.900000,4.218750,4.218750,4.218750,4.218750,4.218750,4.218750,4.218750,4.218750,6.000000,6.000000,4.600000,4.600000
00/00/0000 01:15:00,4.600000,4.600000,4.600000,4.600000,4.600000,6.000000,6.000000,5.870000,5.900000,4.187500,4.187500,4.187500,4.187500,4.187500,4.187500,4.187500,4.187500,6.000000,6.000000,4.600000,4.600000
00/00/0000 01:20:00,4.600000,4.600000,4.600000,4.600000,4.600000,6.000000,6.000000,5.870000,5.900000,4.156250,4.156250,4.156250,4.156250,4.156250,4.156250,4.156250,4.156250,6.000000,6.000000,4.600000,4.600000
00/00/0000 01:25:00,4.600000,4.600000,4.600000,4.600000,4.600000,6.000000,6.000000,5.880000,5.900000,4.125000,4.125000,4.125000,4.125000,4.125000,4.125000,4.125000,4.125000,6.000000,6.000000,4.600000,4.600000
00/00/0000 01:30:00,4.600000,4.600000,4.600000,4.600000,4.600000,6.000000,6.000000,5.880000,5.900000,4.093750,4.093750,4.093750,4.093750,4.093750,4.093750,4.093750,4.093750,6.000000,6.000000,4.600000,4.600000
00/00/0000 01:35:00,4.600000,4.600000,4.600000,4.600000,4.600000,6.000000,6.000000,5.880000,5.900000,4.062500,4.062500,4.062500,4.062500,4.062500,4.062500,4.062500,4.062500,6.000000,6.000000,4.600000,4.600000
00/00/0000 01:40:00,4.600000,4.600000,4.600000,4.600000,4.600000,6.000000,6.000000,5.880000,5.900000,4.031250,4.031250,4.031250,4.031250,4.031250,4.031250,4.031250,4.031250,6.000000,6.000000,4.600000,4.600000
00/00/0000 01:45:00,4.600000,4.600000,4.600000,4.600000,4.600000,6.000000,6.000000,5.880000,5.900000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,6.000000,6.000000,4.600000,4.600000
00/00/0000 01:50:00,4.600000,4.600000,4.600000,4.600000,4.600000,6.000000,6.000000,5.880000,5.900000,3.968750,3.968750,3.968750,3.968750,3.968750,3.968750,3.968750,3.968750,6.000000,6.000000,4.600000,4.600000
00/00/0000 01:55:00,4.600000,4.600000,4.600000,4.600000,4.600000,6.000000,6.000000,5.880000,5.900000,3.937500,3.937500,3.937500,3.937500,3.937500,3.937500,3.937500,3.937500,6.000000,6.000000,4.600000,4.600000
00/00/0000 02:00:00,4.600000,4.600000,4.600000,4.600000,4.600000,6.000000,6.000000,5.890000,5.900000,3.906250,3.906250,3.906250,3.906250,3.906250,3.906250,3.906250,3.906250,6.000000,6.000000,4.600000,4.600000
00/00/0000 02:05:00,4.600000,4.600000,4.600000,4.600000,4.600000,6.000000,6.000000,5.890000,5.900000,3.875000,3.875000,3.875000,3.875000,3.875000,3.875000,3.875000,3.875000,6.000000,6.000000,4.600000,4.600000
00/00/0000 02:10:00,4.600000,4.600000,4.600000,4.600000,4.600000,6.000000,6.000000,5.890000,5.900000,3.843750,3.843750,3.843750,3.843750,3.843750,3.843750,3.843750,3.843750,6.000000,6.000000,4.600000,4.600000
00/00/0000 02:15:00,4.600000,4.600000,4.600000,4.600000,4.600000,6.000000,6.000000,5.890000,5.900000,3.812500,3.812500,3.812500,3.812500,3.812500,3.812500,3.812500,3.812500,6.000000,6.000000,4.600000,4.600000
00/00/0000 02:20:00,4.600000,4.600000,4.600000,4.600000,4.600000,6.000000,6.000000,5.890000,5.900000,3.781250,3.781250,3.781250,3.781250,3.781250,3.781250,3.781250,3.781250,6.000000,6.000000,4.600000,4.600000
00/00/0000 02:25:00,4.600000,4.600000,4.600000,4.600000,4.600000,6.000000,6.000000,5.890000,5.900000,3.750000,3.750000,3.750000,3.750000,3.750000,3.750000,3.750000,3.750000,6.000000,6.000000,4.600000,4.600000
00/00/0000 02:30:00,4.600000,4.600000,4.600000,4.600000,4.600000,6.000000,6.000000,5.900000,5.900000,3.718750,3.718750,3.718750,3.718750,3.718750,3.718750,3.718750,3.718750,6.000000,6.000000,4.600000,4.600000
00/00/0000 02:35:00,4.600000,4.600000,4.600000,4.600000,4.600000,6.000000,6.000000,5.900000,5.900000,3.687500,3.687500,3.687500,3.687500,3.687500,3.687500,3.687500,3.687500,6.000000,6.000000,4.600000,4.600000
00/00/0000 02:40:00,4.600000,4.600000,4.600000,4.600000,4.600000,6.000000,6.000000,5.900000,5.900000,3.656250,3.656250,3.656250,3.656250,3.656250,3.656250,3.656250,3.656250,6.000000,6.000000,4.600000,4.600000
