date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
30/05/2016 11.30,4.163814671814672,5.228108108108108,7.562084942084942,9.093173745173745,9.634656370656371,6.740525096525096,5.694903474903475,4.929359073359074,4.481235521235521,3.3049111969111973,5.620216216216216,7.039274131274132,6.273729729729729,8.010208494208495,6.815212355212355,6.535135135135135,6.217714285714286,5.788262548262549,3.1368648648648647,6.535135135135135,6.721853281853282,5.881621621621622,7.095289575289575,6.983258687258688,6.945915057915059,6.404432432432433,5.340138996138996,4.686625482625482,6.105683397683398,5.060061776061776,5.060061776061776,7.188648648648649,7.095289575289575,5.956308880308881,5.545528957528958,5.116077220077221,4.649281853281854,5.284123552123552,4.929359073359074,4.854671814671815,5.788262548262549,5.844277992277992,6.572478764478765,6.3484169884169885,6.367088803088803,4.836,4.033111969111969,4.126471042471042,4.518579150579151,5.209436293436294,6.385760617760618,6.553806949806949,6.759196911196912,6.721853281853282,3.659675675675676,3.641003861003861,4.387876447876448,4.051783783783784,4.686625482625482,6.83388416988417,6.404432432432433,6.404432432432433,6.460447876447876,4.593266409266409,5.321467181467182,4.686625482625482,3.5476447876447876,4.238501930501931,6.441776061776062,6.199042471042471,6.460447876447876,5.918965250965251,4.892015444015445,4.854671814671815,5.022718146718147,4.406548262548262,4.331861003861004,5.4521698841698845,6.199042471042471,6.124355212355212,4.9106872586872585,3.4542857142857146,4.070455598455599,4.686625482625482,4.462563706563707,3.809050193050193,3.6036602316602315,6.012324324324325,5.788262548262549,5.750918918918919
30/05/2016 11.35,7.6499999999999995,4.7700000000000005,3.3899999999999997,3.0149999999999997,3.0300000000000002,2.2199999999999998,2.505,2.445,3.705,6.555,5.01,3.6450000000000005,2.61,2.235,2.79,2.895,2.46,3.0749999999999997,7.125,5.16,3.3899999999999997,2.205,2.34,2.61,2.7750000000000004,2.3850000000000002,2.445,6.165000000000001,5.1899999999999995,3.135,2.88,2.61,2.61,2.8499999999999996,2.415,2.235,4.8149999999999995,5.3100000000000005,4.41,4.08,3.2249999999999996,3.06,3.0149999999999997,2.835,2.43,3.63,5.1899999999999995,5.22,4.035,3.93,3.69,4.050000000000001,4.199999999999999,3.21,4.59,5.43,5.445,4.5,3.75,3.5250000000000004,3.7199999999999998,4.215,3.51,3.96,5.76,5.16,5.85,5.025,3.57,3.615,3.945,3.3449999999999998,4.74,5.04,5.805,4.965,5.37,4.08,4.11,3.99,3.3000000000000003,3.435,3.51,5.295,4.574999999999999,4.455,4.74,3.8249999999999997,4.050000000000001,3.21
30/05/2016 11.40,2.13,2.445,3.3449999999999998,2.73,2.085,1.8900000000000001,2.25,1.905,1.7399999999999998,1.9500000000000002,1.53,2.07,2.1149999999999998,1.9500000000000002,2.055,2.205,1.875,1.5150000000000001,2.07,2.2199999999999998,2.2199999999999998,1.4849999999999999,2.1149999999999998,2.7,2.325,1.665,1.965,2.205,2.46,2.265,1.56,2.34,2.64,1.7999999999999998,1.6949999999999998,2.055,3.0149999999999997,3.0749999999999997,2.295,1.7249999999999999,1.905,2.295,1.8599999999999999,2.0250000000000004,1.83,3.3000000000000003,2.955,1.98,2.4749999999999996,1.995,1.8900000000000001,1.785,2.085,2.1149999999999998,3.06,3.5250000000000004,2.745,2.34,2.16,2.145,2.25,2.67,3.165,2.9699999999999998,3.255,2.835,2.94,2.835,2.6550000000000002,2.835,2.7750000000000004,3.3600000000000003,3.3000000000000003,3.09,3.12,3.315,2.985,2.955,2.88,3.18,2.895,3.135,3.7350000000000003,3.8549999999999995,3.2249999999999996,3.1049999999999995,2.79,2.7,3.135,2.8649999999999998
30/05/2016 11.45,4.199999999999999,4.29,4.005,4.08,3.0300000000000002,2.325,1.815,1.545,1.6350000000000002,3.8249999999999997,2.685,2.7600000000000002,2.67,2.0100000000000002,1.845,1.335,1.23,1.935,3.06,1.71,1.995,1.815,1.6949999999999998,1.455,1.2000000000000002,1.26,2.04,2.0250000000000004,1.605,1.35,1.3800000000000001,1.5150000000000001,1.29,1.185,1.47,1.8900000000000001,1.935,1.905,1.53,1.065,1.5150000000000001,1.395,1.545,1.3800000000000001,1.5,2.16,1.965,1.59,1.5150000000000001,1.5750000000000002,1.71,1.665,1.26,1.29,1.935,2.145,2.2199999999999998,1.935,1.845,1.62,1.2449999999999999,1.035,1.1400000000000001,2.4749999999999996,1.335,1.98,2.07,2.205,1.98,1.605,1.1400000000000001,1.02,2.07,1.6949999999999998,1.8599999999999999,1.83,2.1149999999999998,2.61,1.875,1.2000000000000002,0.915,1.905,2.0250000000000004,2.2199999999999998,2.16,2.085,2.58,1.875,1.6500000000000001,1.5750000000000002
30/05/2016 11.50,5.865,6.915000000000001,5.91,5.085,3.4799999999999995,3.33,3.06,2.085,1.71,4.574999999999999,3.465,3.42,3.75,3.06,2.64,2.0250000000000004,1.9500000000000002,2.19,3.045,2.82,2.4899999999999998,3.54,2.625,1.845,1.5750000000000002,2.16,2.925,2.745,2.745,2.295,2.1149999999999998,1.905,1.755,1.815,2.4000000000000004,3.255,2.25,2.6550000000000002,1.59,1.6500000000000001,1.71,1.9500000000000002,1.8599999999999999,2.235,2.88,1.665,1.56,0.885,1.2000000000000002,1.7999999999999998,2.0250000000000004,1.755,1.92,2.3850000000000002,1.305,1.1099999999999999,0.9750000000000001,1.125,1.4849999999999999,2.07,2.0999999999999996,2.43,2.835,0.75,0.78,1.26,1.26,1.275,1.8599999999999999,2.265,2.61,2.535,1.2449999999999999,0.705,1.2000000000000002,1.1400000000000001,1.215,1.5750000000000002,1.965,1.815,1.755,1.395,1.26,1.335,1.17,1.29,1.5,1.545,1.29,1.56
30/05/2016 11.55,8.370000000000001,5.835,5.1,5.805,4.47,3.42,2.625,2.085,2.37,9.540000000000001,5.58,5.925000000000001,5.13,3.4050000000000002,2.715,2.2800000000000002,2.16,2.79,8.28,5.655,4.365,3.045,2.7600000000000002,2.2800000000000002,2.46,2.88,3.945,3.93,3.315,2.46,2.835,2.6550000000000002,2.7750000000000004,3.06,3.4799999999999995,4.5,2.325,2.4899999999999998,1.755,2.13,3.12,4.38,4.365,4.545,5.475,1.77,1.8900000000000001,1.395,2.64,3.87,5.235,6.195,5.79,7.32,1.98,2.235,2.1149999999999998,2.79,3.9000000000000004,4.905,5.985,5.46,6.555,1.2000000000000002,1.32,2.175,2.55,2.895,3.7350000000000003,5.235,5.4,6.165000000000001,1.6350000000000002,2.04,2.715,2.175,2.34,2.715,4.38,6.645,5.775,1.53,1.665,2.55,2.8649999999999998,2.805,3.0149999999999997,3.3899999999999997,4.485,4.215
30/05/2016 12.00,6.2927633587786245,4.242540458015266,5.0748091603053425,4.607926717557251,3.7959572519083964,2.9230900763358774,3.0448854961832055,2.679499236641221,3.5320671755725184,7.206229007633586,6.191267175572517,4.607926717557251,3.8974534351145027,4.242540458015266,3.085483969465648,2.9027908396946556,3.4914687022900757,3.958351145038167,7.85580458015267,7.3686229007633575,5.095108396946563,3.4711694656488543,3.714760305343511,2.82159389312977,2.679499236641221,3.5320671755725184,4.506430534351145,6.394259541984732,5.907077862595419,4.100445801526717,3.4914687022900757,3.308775572519083,3.1869801526717554,3.126082442748091,5.095108396946563,6.394259541984732,5.135706870229006,4.30343816793893,3.85685496183206,3.958351145038167,4.567328244274808,4.44553282442748,4.2628396946564875,6.333361832061067,8.32268702290076,4.364335877862595,3.9786503816793886,4.851517557251908,4.141044274809159,4.344036641221374,5.013911450381679,4.729722137404579,7.3686229007633575,8.505380152671755,3.268177099236641,5.196604580152671,4.587627480916029,6.252164885496182,6.110070229007632,5.379297709923663,4.729722137404579,6.637850381679388,8.32268702290076,3.450870229007633,3.8162564885496173,5.602589312977098,7.104732824427479,7.4092213740458,7.064134351145037,5.521392366412213,5.561990839694656,9.195554198473282,4.364335877862595,4.790619847328243,6.922039694656488,9.195554198473282,7.023535877862594,7.26712671755725,6.455157251908396,6.170967938931296,8.16029312977099,3.5929648854961824,4.323737404580152,5.318399999999999,8.13999389312977,7.287425954198471,9.520341984732823,9.784232061068701,10.79919389312977,10.79919389312977
30/05/2016 12.05,4.665,4.245,2.5949999999999998,1.8900000000000001,1.92,1.62,3.135,5.324999999999999,5.1450000000000005,3.63,2.94,2.43,2.0100000000000002,2.205,1.7999999999999998,3.09,5.324999999999999,4.2299999999999995,3.75,2.955,2.235,2.1149999999999998,2.07,1.71,2.07,4.5600000000000005,4.5,3.0749999999999997,2.55,1.995,2.2800000000000002,2.16,1.8599999999999999,3.585,5.235,4.305,2.265,2.505,2.52,2.58,2.505,3.7649999999999997,4.515,5.16,4.89,2.175,2.4000000000000004,2.805,2.55,2.925,5.64,6.029999999999999,6.105,4.86,2.355,2.565,2.13,2.82,3.315,5.985,6.495,5.715,4.545,3.7800000000000002,4.1850000000000005,3.09,3.285,5.1,6.8999999999999995,5.865,5.205,4.965,4.0649999999999995,4.8149999999999995,4.695,4.365,5.7299999999999995,6.75,6.255,5.3100000000000005,4.4399999999999995,3.69,3.885,4.9350000000000005,4.35,5.49,6.66,7.11,5.055,4.14
30/05/2016 12.10,2.58,2.175,1.92,2.16,4.305,3.9749999999999996,3.93,3.99,3.915,2.175,1.875,1.6949999999999998,2.52,4.425000000000001,4.665,3.7649999999999997,3.135,3.51,2.445,2.055,1.83,3.315,5.7299999999999995,5.625,3.5250000000000004,2.55,3.4499999999999997,2.265,2.2199999999999998,1.98,4.035,6.135,4.485,3.1049999999999995,3.0,3.75,2.415,2.25,1.7249999999999999,3.63,4.9799999999999995,3.4050000000000002,2.895,3.42,3.555,2.4749999999999996,2.0100000000000002,2.94,3.7800000000000002,4.800000000000001,3.69,3.1049999999999995,4.125,4.6049999999999995,2.61,2.55,3.315,4.635,6.105,4.62,3.93,4.574999999999999,4.995,4.0649999999999995,3.09,5.6850000000000005,6.9750000000000005,7.455,5.985,4.3950000000000005,4.485,5.13,3.7350000000000003,4.71,6.959999999999999,9.675,8.535,6.855,3.99,4.5600000000000005,4.2299999999999995,3.795,4.26,8.565,9.99,8.655,5.835,5.265,4.62,3.93
30/05/2016 12.15,1.215,1.4849999999999999,2.91,3.435,2.88,2.52,2.25,2.2199999999999998,3.915,1.59,1.875,3.63,3.7800000000000002,3.3899999999999997,3.1049999999999995,2.205,1.8900000000000001,2.4899999999999998,1.6800000000000002,2.37,3.0,3.51,3.9749999999999996,3.555,2.61,2.07,2.8649999999999998,2.0100000000000002,2.91,3.57,3.1049999999999995,3.465,3.375,2.8499999999999996,2.7600000000000002,3.2249999999999996,2.37,3.0,3.465,3.7350000000000003,3.7199999999999998,3.54,4.11,4.125,4.0200000000000005,2.6550000000000002,3.3899999999999997,3.0749999999999997,3.2249999999999996,3.615,4.26,5.07,4.545,5.085,3.21,3.435,2.985,3.5999999999999996,3.5999999999999996,5.07,5.955,5.22,5.91,4.199999999999999,4.41,3.195,3.7199999999999998,4.1850000000000005,7.41,6.36,4.949999999999999,6.195,4.9350000000000005,3.7800000000000002,3.8549999999999995,4.095,5.1,8.655,8.64,7.035,6.824999999999999,5.505,3.8549999999999995,6.5249999999999995,4.515,4.785,9.120000000000001,9.975000000000001,8.715,6.6899999999999995
